NOME_PRODUTO,DESCRIÇÃO
AGINOTRICIN,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
AGIOFIBRA,FITOTERAPICO SIMPLES
AGIOLAX,LAXANTES INCREMENTADORES DO BOLO INTESTINAL
AGLICON-SOY,COADJUVANTE NO TRATAMENTO DO CLIMATERIO + FITOTERAPICO SIMPLES
AGLITIL,ANTIDIABETICOS
AGLIX,EXPECTORANTES + FITOTERAPICO SIMPLES
AGLUCOSE,ANTIDIABETICOS
AGONIADA COMPOSTA FARMAERVAS,ANTIESPASMODICOS + FITOTERAPICO COMPOSTO + PRODUTOS COM ACAO UTERINA EXCLUSIVE PROTAGLANDINAS
AGOXOM,ANTIDEPRESSIVOS
AGRANGIO,VASODILATADORES
AGRASTAT,ANTIAGREGANTE PLAQUETARIO
AGREGADO DE ALBUMINA + ALBUMINA HUMANA,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
AGRIPIN,ANALGESICOS
AGRITOSS,EXPECTORANTES SIMPLES
AGRYLIN,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
AGRYLIN,OUTROS AGENTES ANTINEOPLÁSICOS
AGUA BI-DESTILADA APIROGENICA,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA BIDESTILADA,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA BORICADA 3%,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
AGUA DESTILADA,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA DESTILADA ESTERIL E APIROGENICA,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA INGLESA CATARINENSE,FITOTERAPICO COMPOSTO
AGUA OXIGENADA 10V,ANTISSEPTICO
AGUA PARA INJECAO,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA PARA INJECAO,PRODUTOS NAO ENQUADRADOS EM CLASSES TERAPEUTICAS
AGUA PARA INJECAO MADREVITA,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA PARA INJETAVEIS,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA PARA INJEÇAO,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS
AGUARDENTE ALEMÃ,FITOTERAPICO COMPOSTO
AGUD,ANALGESICOS NARCOTICOS
AH-ZUL,VASODILATADORES
AILUK,ANTIASMATICOS
AIMAFIX,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO"
AINDA SR,DIURETICOS SIMPLES
AIPRI,ANTIPSICOTICOS
AIRCLIN,GLICOCORTICOIDES SISTEMICOS
AIRES,EXPECTORANTES BALSAMICOS E MUCOLITICO
AITRAVIC,ANTIGLAUCOMATOSOS
AIXA,ANTICONCEPCIONAIS
AJOVY,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
AKALMESE,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES
AKALURET,ANTIANGINOSOS E VASODILATADORES
AKINETON,ANTIPARKINSONIANOS
AKIROL,PRODUTOS ANTI-ACNE
AKSSUS,ANTINEOPLASICO
AKYNZEO,ANTIEMÉTICOS E ANTINAUSEANTES
ALAGLU,NUTRIENTES PARENTERAIS
ALANDRE,PROGESTAGENOS SIMPLES
ALANTOINA + ACIDO BORICO+OXIDO DE ZINCO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
ALANTOINA+AMINOACRIDINA+CLORIDRATO DE CINCHOCAINA+BENZOCAINA+SULF. DE,"PROTECAO, APARENCIA E CICATRIZACAO DA PELE E MUCOSAS"
ALBA 3,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBEMPHIL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBEN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAL,ANTIPARASITARIOS
ALBENDAN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL,ANTIPARASITARIOS
ALBENDAZOL,ALBENDAZOL + ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDOXIL,ANTIPARASITARIOS
ALBENDROX,ANTIPARASITARIOS
ALBENDY,ANTIPARASITARIOS
ALBENIX,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENTEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENZONIL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBEZIN,ANTIPARASITARIOS
ALBICON,DEMULCENTES E OUTROS MEDS. USO ORAL P/ TRATAM. OROFARINGE
ALBISTIN,ANTIMICOTICO
ALBOCRESIL,PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES
ALBUMAX,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS
ALBUMINA HUMANA,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
ALBUMINA HUMANA 20%,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA 20%,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS
ALBUMINA HUMANA 20% BIOTEST,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA BAXTER AG,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS
ALBUMINA HUMANA DE ORIGEM PLASMATICA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA DE ORIGEM PLASMATICA LFB,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA GRIFOLS,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA HEMOBRÁS,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO"
ALBUMINA HUMANA PLASMATICA,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO"
ALBUMINA SÉRICA HUMANA NORMAL,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINAR,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUNEX,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
ALBUREX 20,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS
ALCACHOFRA,FITOTERAPICO SIMPLES
ALCACHOFRA  BIONATUS,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA  HERBARIUM,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA AMAZON ERVAS,FITOTERAPICO SIMPLES
ALCACHOFRA ASPEN PHARMA,COLAGOGOS E COLERETICOS
ALCACHOFRA BRASMED,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA COMPOSTA,COLAGOGOS E COLERETICOS + FITOTERAPICO COMPOSTO
ALCACHOFRA COMPOSTA,FITOTERAPICO COMPOSTO
ALCACHOFRA COMPOSTA,PRODUTOS NATURAIS ASSOCIADOS
ALCACHOFRA COMPOSTA,COLAGOGOS E COLERETICOS
ALCACHOFRA EC,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA FLORA MEDICINAL,FITOTERAPICO SIMPLES
ALCACHOFRA HERALD''S,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA MILIAN,FITOTERAPICO SIMPLES
ALCACHOFRA MULTILAB,COLAGOGOS E COLERETICOS
ALCACHOFRA NATULAB,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA ORIENT,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA PURA CRONIN,FITOTERAPICO SIMPLES
ALCACHOFRA SIMÕES,COLAGOGOS E COLERETICOS
ALCACHOFRA TKS,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA VIDORA,COLAGOGOS E COLERETICOS
ALCACHOFRA VITAMED,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA VITAMED,COLAGOGOS E COLERETICOS
ALCACHOFRA YANTEN,FITOTERAPICO SIMPLES
ALCACHOFRAX,COLAGOGOS E COLERETICOS
ALCACHOL,FITOTERAPICO SIMPLES
ALCACHOYAN,FITOTERAPICO SIMPLES
ALCAFLOR,FITOTERAPICO COMPOSTO
ALCAFLOR UNO,FITOTERAPICO SIMPLES
ALCAGEST,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCAHERB,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCALERGIN,FITOTERAPICO SIMPLES
ALCALIS GEL,ANTIACIDO
ALCALONE PLUS,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS
ALCANATAN,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCATOSS  XAROPE,EXPECTORANTES + FITOTERAPICO SIMPLES
ALCAÇUZ FLORA MEDICINAL,FITOTERAPICO SIMPLES
ALCOLSTOP,ASSOCIACAO HOMEOPATICAS
"ALCOOL IODADO 0,1%",ANTISSEPTICO
ALCOOLATURA DE AGRIÃO + ASSOCIAÇÕES,PRODUTOS NATURAIS
ALCYTAM,ANTIDEPRESSIVOS
ALDACTONE,ANTI-HIPERTENSIVOS
ALDACTONE,DIURETICOS
ALDARA,IMUNOMODULADOR
ALDARIL,ANTI-HIPERTENSIVOS
ALDAZIDA,ANTI-HIPERTENSIVOS
ALDIJET,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ALDIJET,ANTICONCEPCIONAIS
ALDOMET,ANTI-HIPERTENSIVOS SIMPLES
ALDOPA,ANTI-HIPERTENSIVOS SIMPLES
ALDOSTERIN,ANTI-HIPERTENSIVOS
ALDOTIL,ANTI-HIPERTENSIVOS SIMPLES
ALDROX  MAX,ANTIACIDOS E ANTIULCEROSOS SIMPLES
ALDURAZYME,ENZIMA PARA REPOSIÇAO
ALEDEX,ANTIALERGICOS TOPICOS
ALEKTOS,ANTI-HISTAMINICOS SISTEMICOS
ALEKTOS PED,ANTI-HISTAMINICOS SISTEMICOS
ALENDIL,SUPRESSORES DA REABSORCAO OSSEA
ALENDIL CÁLCIO D,VITAMINAS E SUPLEMENTOS MINERAIS
ALENDOSSEO,SUPRESSORES DA REABSORCAO OSSEA
ALENDRIN,SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE SODIO,SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE SÓDIO,SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO SODICO,SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO SÓDICO,SUPRESSORES DA REABSORCAO OSSEA
ALENDRUS,SUPRESSORES DA REABSORCAO OSSEA
ALENDÓSSEO,SUPRESSORES DA REABSORCAO OSSEA
ALENE,PRODUTOS ANTI-ACNE
ALENOST,SUPRESSORES DA REABSORCAO OSSEA
ALENTHUS XR,ANTIDEPRESSIVOS
ALERADINA,ANTI-HISTAMINICOS SISTEMICOS
ALERDRYL -D,ANTI-HISTAMINICOS SISTEMICOS
ALERFIN,CORTICOSTEROIDES TOPICOS
ALERGALIV,ANTIALERGICOS
ALERGALIV D,ANTI-HISTAMINICOS SISTEMICOS
ALERGCORTEM,GLICOCORTICOIDES SISTEMICOS
ALERGIDERM,ANTIALERGICOS TOPICOS
ALERGIDEX,ANTI-HISTAMINICOS SISTEMICOS
ALERGINYL,ANTIALERGICOS + MEDICAMENTOS DINAMIZADOS COMPOSTOS
ALERGITANIL,ANTI-HISTAMINICOS SISTEMICOS
ALERGO FILINAL,ANTI-HISTAMINICOS SISTEMICOS
ALERGOLON,GLICOCORTICOIDES SISTEMICOS
ALERGOMINE,ANTIALERGICOS
ALERGONIL,ANTI-HISTAMINICOS SISTEMICOS
ALERGOSAN,ANTI-HISTAMINICOS SISTEMICOS
ALERGYO,ANTI-HISTAMINICOS SISTEMICOS
ALERID,ANTI-HISTAMINICOS SISTEMICOS
ALERJON,DESCONGESTIONATES OFTALMICOS
ALERMINE,ANTIALERGICOS
ALERSIN,ANTI-HISTAMINICOS SISTEMICOS
ALESSE,ANTICONCEPCIONAIS
ALETIR,ANTI-HISTAMINICOS SISTEMICOS
ALEVE,ANALGESICOS NAO NARCOTICOS
ALEVO,ANTIBIOTICOS SISTEMICOS SIMPLES
ALEXA,ANTICONCEPCIONAIS
ALEXAN,ANTINEOPLASICOS CITOTOXICOS
ALFAD,ANALOGO SINTETICO DA VITAMINA D
ALFAEPOETINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
ALFAESTRADIOL,ANTIALOPECIA
ALFAINTERFERONA 2A,ANTINEOPLASICO
ALFAINTERFERONA 2B (RECOMBINANTE),IMUNOMODULADOR
ALFAINTERFERONA 2b,OUTROS PRODUTOS COM ACAO IMUNOPROTETORA
ALFAMETIDOPA,ANTI-HIPERTENSIVOS SIMPLES
ALFASIN,INIBIDOR DA ALFA-REDUTASE
ALFAST,ANALGESICOS NARCOTICOS
ALFRON,ANSIOLITICOS SIMPLES
ALFUSINA,ANTI-HIPERTENSIVOS SIMPLES
ALFUZOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
ALFUZOSINA CLORIDRATO,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL,ANTICONCEPCIONAIS
ALGEXIN,ANTIESPASMODICOS
ALGEXIN COMPOSTO,ANTIESPASMODICOS
ALGI DORSEROL,ANTINFLAMATORIOS
ALGI TANDERIL,ANTINFLAMATORIOS
ALGI TANDERIL,ANTINFLAMATORIOS ANTIREUMATICOS
ALGI-REUMATRIL,ANALGESICOS NAO NARCOTICOS
ALGICOD,ANALGESICOS NARCOTICOS
ALGIE,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS
ALGIFENACO,ANTINFLAMATORIOS
ALGIFLANIL,ANALGESICOS
ALGIFLEX,ANALGESICOS
ALGILIVE,ANTINFLAMATORIOS ANTIREUMATICOS
ALGIREN,ANTINFLAMATORIOS ANTIREUMATICOS
ALGIRONA,ANALGESICOS NAO NARCOTICOS
ALGOYECT,ANTINFLAMATORIOS
ALGY-FLANDERIL,ANTINFLAMATORIOS ANTIREUMATICOS
ALGYSEDA,ANTINFLAMATORIOS ANTIREUMATICOS
ALHO LUPER,ANTI-HIPERTENSIVOS + ANTILIPEMICOS + FITOTERAPICO SIMPLES
ALIB,ANTIPARASITARIOS
ALICURA,ANALGESICOS NAO NARCOTICOS
ALIDOR,ANALGESICOS NAO NARCOTICOS
ALIFLEX,ANTINFLAMATORIOS
ALIMAX,ANTICOAGULANTES + ANTINFLAMATORIOS
ALIMTA,ANTINEOPLASICO
ALIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALIV,DESCONGESTIONANTES NASAIS SISTEMICOS
ALIVBABY,ANTIMICOTICOS PARA USO TOPICO
ALIVDIP,ANALGESICOS NAO NARCOTICOS
ALIVE,DESCONGESTIONANTES NASAIS TOPICOS
ALIVIADOR,RUBEFACIENTES
ALIVIAGRIP,ANALGESICOS NAO NARCOTICOS
ALIVIAN,ANTINFLAMATORIOS
ALIVIC,EXPECTORANTES BALSAMICOS E MUCOLITICO
ALIVIOL,RUBEFACIENTES
ALIVIRONA,ANALGESICOS NAO NARCOTICOS
ALIVISION,BRONCODILATADORES
ALIVIUM,ANALGESICOS
ALIVIUM,ANALGESICOS NAO NARCOTICOS
ALIVIX,ANTICONVULSIVANTES
ALIVPRESS,ANTI-HIPERTENSIVOS SIMPLES
ALKA-SELTZER,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS
ALKAGEL,ANTIACIDO
ALKAZOL,ANTIULCEROSOS
ALKERAN,ANTINEOPLASICOS CITOTOXICOS
ALL 26,POLIVITAMINICOS COM MINERAIS
ALL 26 GERIATRIC,POLIVITAMINICOS COM MINERAIS
ALL 30 MASTER MAXLIFE,POLIVITAMINICOS COM MINERAIS
ALLEGRA,ANTI-HISTAMINICOS SISTEMICOS
ALLEGRA D,DESCONGESTIONANTES NASAIS SISTEMICOS
ALLENASAL,GLICOCORTICOIDES SISTEMICOS
ALLEP,ANTI-HISTAMINICOS SISTEMICOS
ALLEP PEDIÁTRICO,ANTI-HISTAMINICOS SISTEMICOS
ALLESTRA,ANTICONCEPCIONAIS
ALLEXOFEDRIN,ANTI-HISTAMINICOS SISTEMICOS
ALLEXOFEDRIN D,ANTI-HISTAMINICOS SISTEMICOS
ALLEXOFEDRIN PEDIÁTRICO,ANTI-HISTAMÍNICOS PARA USO SISTÊMICO
ALLFORT,VITAMINAS E SUPLEMENTOS MINERAIS
ALLIUM SATIVUM,FITOTERAPICO SIMPLES
ALLIUMHEXAL,FITOTERAPICO SIMPLES
ALLOFERINE,BLOQUEADOR NEUROMUSCULAR
ALLOVITA,ANTIALOPECIA
ALLUNY,PROGESTAGENOS SIMPLES
ALLURENE,PROGESTAGENOS SIMPLES
ALOAX,CICATRIZANTES + FITOTERAPICO SIMPLES
ALOE FEROX + MORMODICA PERCULATA,FITOTERAPICO COMPOSTO
ALOE GEL,CICATRIZANTES + FITOTERAPICO SIMPLES
ALOES + ASSOCIAÇÕES,LAXANTES
ALOFF,ANTI-HISTAMINICOS SISTEMICOS
ALOFF XPE,ANTI-HISTAMINICOS SISTEMICOS
ALOIS,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ALOIS DUO,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ALOND,ANTICONVULSIVANTES
ALOPURIMILIUM,ANTIGOTOSOS
ALOPURINOL,ANTIGOTOSOS
ALOXIDIL,ANTIALOPECIA
ALOZEX,ANTIALOPECIA
ALOZIC,ANTIGOTOSOS
ALPES,ANTIDEPRESSIVOS
ALPES XL,ANTIDEPRESSIVOS
ALPHABRIN,ANTIGLAUCOMATOSOS
ALPHACAINE,ANESTESICOS LOCAIS
ALPHADOPA,ANTI-HIPERTENSIVOS SIMPLES
ALPHAGAN,ANTIGLAUCOMATOSOS
ALPHALIV,ANSIOLITICOS SIMPLES
ALPHANATE,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS
ALPHANATE,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALPHANINE,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALPHANINE SD,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS
ALPRAZOLAM,ANSIOLITICOS SIMPLES
ALPRODIL,PROSTAGLANDINAS
ALPROSTADIL,PROSTAGLANDINAS
ALPROXY,VASODILATADORES
ALREX,ANTINFLAMATORIOS
ALRINTE,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALTAD,VITAMINAS
ALTAD CAPS,VITAMINA D E ANÁLOGOS
ALTARGO,ANTIBACTERIANO TOPICO
ALTIVA,ANTI-HISTAMINICOS SISTEMICOS
ALTROX,ANSIOLITICOS SIMPLES
ALTRYXEN,ANTINEOPLASICOS CITOTOXICOS
ALTVEN,ANTIDEPRESSIVOS
ALU-MAG,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS
ALUDROXIL,ANTIACIDO
ALUMEN,CICATRIZANTES
ALUMIMAX,ANTIACIDO
ALURAX,PROGESTAGENOS SIMPLES
ALVENT,BRONCODILATADORES
ALVEOFACT,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
ALVEOLIN,PRODUTOS PARA USO EM ODONTOLOGIA
ALVESCO,ANTIASMATICOS
ALZ,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ALZEPINOL,ANTICONVULSIVANTES
ALZYNAMIN,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
ALÇATEN,VASOCONSTRITORES E HIPERTENSORES
AMAGLYN,ANTIDIABETICOS
AMALFI,PRODUTOS ANTI-ACNE
AMARGOL,DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS + LAXANTES
AMARYL,ANTIDIABETICOS
AMARYL FLEX,ANTIDIABETICOS
AMATO,ANTICONVULSIVANTES
AMAZON KIDS,POLIVITAMINICOS COM MINERAIS
AMBEZETAL,PENICILINA DE AMPLO ESPECTRO
AMBILAN,ANTIBACTERIANO
AMBISOME,ANTI-FUNGICOS
AMBRA SINTO T,CLASSE DAS TETRACICLINAS
AMBRIZOL,EXPECTORANTES BALSAMICOS E MUCOLITICO
AMBROFLUX,EXPECTORANTES BALSAMICOS E MUCOLITICO
AMBROL,EXPECTORANTES BALSAMICOS E MUCOLITICO
AMBROTEN,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
AMBROX,EXPECTORANTES SIMPLES
AMBROXMEL,EXPECTORANTES BALSAMICOS E MUCOLITICO
AMEBIL PEDIATRICO,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS"
AMELOVAS,ANTI-HIPERTENSIVOS
AMENIFLAC,ANALGESICOS
AMENOFLORA,FITOTERAPICO COMPOSTO
AMENOPAN 40 MG,FITOTERAPICO SIMPLES
AMFLOX,ANTIBIOTICOS SISTEMICOS SIMPLES
AMGEVITA,ANTINFLAMATORIOS ANTIREUMATICOS
AMICACINA,ANTIBIOTICOS SISTEMICOS SIMPLES
AMICACINA,AMINOGLICOSIDEOS
AMICACINA,ANALGESICOS
AMICACINA SULFATO,AMINOGLICOSIDEOS
AMICAL,ANTIBIOTICOS SISTEMICOS SIMPLES
AMICALIN,AMINOGLICOSIDEOS
AMICAN,ANTIBIOTICOS SISTEMICOS SIMPLES
AMICILON,AMINOGLICOSIDEOS
AMICLAVIN,ANTIBIOTICOS SISTEMICOS SIMPLES
AMICORED,VITAMINAS E SUPLEMENTOS MINERAIS
AMICOSE,ANTIMICOTICOS PARA USO TOPICO
AMICOZOL,ANTIMICOTICO
AMIDA,ANTIDIABETICOS
AMIDALIN,PRODUTOS PARA OROFARINGE
AMIDALON,ASSOCIACAO HOMEOPATICAS
AMIDOTRIZOATO DE MEGLUMINA,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
AMIDOTRIZOATO DE MEGLUMINA ASSOCIADO,AGENTES DIAGNOSTICOS NAO RADIOATIVOS
AMIDOTRIZOATO DE MEGLUMINA E AMIDOTRIZOATO DE MEGLUMINA E SÓDIO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
AMIDOTRIZOATO DE SODIO + AMIDOTRIZOATO DE MEGLUMINA,AGENTES DIAGNOSTICOS NAO RADIOATIVOS
AMIGDA-CAINA,ANTISSEPTICO
AMIGDALOL,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
AMIGDAMICIN,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
AMILOPIL,ANTI-HIPERTENSIVOS
AMILORID,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
AMINO CAL,VITAMINAS E SUPLEMENTOS MINERAIS
AMINO MAG,VITAMINAS E SUPLEMENTOS MINERAIS
AMINOCRIS,BRONCODILATADORES
AMINOFARMA,BRONCODILATADORES
AMINOFEN,ANALGESICOS NAO NARCOTICOS
AMINOFIL,BRONCODILATADORES
AMINOFILINA,BRONCODILATADORES
AMINOFILINA + GUAIFENESINA,ANTITUSSIGENOS
AMINOFILINA SANDOZ,BRONCODILATADORES
AMINOFILON,BRONCODILATADORES
AMINOFINIL,BRONCODILATADORES
AMINOGEL,BRONCODILATADORES
AMINOIMA,ESTIMULANTES RESPIRATORIOS
AMINOLEX,BRONCODILATADORES
AMINOLEX 2,
AMINOLIV,BRONCODILATADORES
AMINOLYSIN,ESTIMULANTES DO APETITE
AMINOPED 10%,NUTRIENTES PARENTERAIS
AMINOPLASMAL,NUTRIENTES PARENTERAIS
AMINOPLASMAL L 10 A,NUTRIENTES PARENTERAIS
AMINOSANTISA,BRONCODILATADORES
AMINOSTERIL 10%,NUTRIENTES PARENTERAIS
AMINOSTERIL 10% COM ELETRÓLITOS E SEM CARBOIDRATOS + GLICOSE,NUTRIENTES PARENTERAIS
AMINOSTERIL 10% SS + GLICOSE,OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL
AMINOSTERIL 800,NUTRIENTES PARENTERAIS
AMINOSTERIL HEPA,NUTRIENTES PARENTERAIS
AMINOSTERIL HEPA 8% + GLICOSE,NUTRIENTES PARENTERAIS
AMINOSTERIL N-HEPA 8%,NUTRIENTES PARENTERAIS
AMINOSTERIL NEFRO,NUTRIENTES PARENTERAIS
AMINOTIL,BRONCODILATADORES
AMINOTRAT,BRONCODILATADORES
AMINOVAC,IMUNOESTIMULANTES
AMINOVEN,NUTRIENTES PARENTERAIS
AMIO -BRAS,ANTIARRITMICOS
AMIOBAL,ANTIARRITMICOS
AMIODARONA,OUTROS ANTIANGINOSOS
AMIODARONA,ANTIARRITMICOS
AMIORAX,EXPECTORANTES BALSAMICOS E MUCOLITICO
AMIORON,ANTIARRITMICOS
AMIRONA,ANTIARRITMICOS
AMIRÉTIC,ANTI-HIPERTENSIVOS
AMISPED,ANTIASMATICOS
AMISTOFENO,ANTIASMATICOS
AMITIZA,OUTROS LAXANTES
AMITRIN,ANTIDEPRESSIVOS
AMITRIPTILINA,ANTIDEPRESSIVOS
AMIXAL,NUTRIENTES PARENTERAIS
AMLOCOR,ANTI-HIPERTENSIVOS SIMPLES
AMLODIL,ANTI-HIPERTENSIVOS
AMLODIPINA,ANTI-HIPERTENSIVOS SIMPLES
AMLODIPINA,ANTIANGINOSOS E VASODILATADORES
AMLODIPINA,ANTI-HIPERTENSIVOS
AMLOPIPINA BESILATO + BENAZEPRIL CLORIDRATO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
AMLOTESS,ANTI-HIPERTENSIVOS SIMPLES
AMLOVASC,ANTI-HIPERTENSIVOS
AMMY,ANTICONCEPCIONAIS
AMOBARBITAL,HIPNOTICOS
AMODIAQUINA,ANTIMALARICOS
AMOFLUX,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOME,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA
AMONIA,RUBEFACIENTES
AMORA,ANTICONCEPCIONAIS
AMOROLFINA,ANTIMICOTICOS PARA USO TOPICO
AMOROLFINA CLORIDRATO,ANTIMICOTICOS PARA USO TOPICO
AMOX-EMS,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOX-EMS,PENICILINA DE AMPLO ESPECTRO
AMOXACIN,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOXADENE,PENICILINA G E DERIVADOS (BENZILPENICILINAS)
AMOXI-PED,PENICILINA DE AMPLO ESPECTRO
AMOXIBEL,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOXIBRON,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOXICAP,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOXICICLINA,ANTIBIOTICOS SISTEMICOS SIMPLES
AMOXICILINA,ANTIBIOTICOS SISTEMICOS SIMPLES
